epoch,learning_rate,learning_rate_step,loss_step,step
,4.999968480955536e-06,,,3949
0,,4.999968496122165e-06,3.0112829563222476e-07,3949
,4.9999623974146805e-06,,,3999
0,,4.999962584406603e-06,2.6272653030900983e-07,3999
,4.99995577741204e-06,,,4049
0,,4.99995576319634e-06,3.047662175958976e-07,4049
,4.99994862094905e-06,,,4099
0,,4.999948487238726e-06,3.630215132943704e-07,4099
,4.999940928027264e-06,,,4149
0,,4.999940756533761e-06,2.809198633713095e-07,4149
,4.9999326986483444e-06,,,4199
0,,4.999932571081445e-06,3.045181813376985e-07,4199
,4.999923932814079e-06,,,4249
0,,4.999923930881778e-06,2.516258348350675e-07,4249
,4.999914630526367e-06,,,4299
0,,4.99991483593476e-06,2.6846035439120897e-07,4299
,4.999904791787224e-06,,,4349
0,,4.9999048314930405e-06,3.505628853872622e-07,4349
,4.999894416598782e-06,,,4399
0,,4.99989437230397e-06,3.035495410586009e-07,4399
,4.999883504963292e-06,,,4449
0,,4.999883458367549e-06,3.189919937085506e-07,4449
,4.999872056883118e-06,,,4499
0,,4.999872089683777e-06,3.3346790928590053e-07,4499
,4.999860072360741e-06,,,4549
0,,4.999860266252654e-06,2.876678593111137e-07,4549
,4.99984755139876e-06,,,4599
0,,4.999847533326829e-06,3.179212910708884e-07,4599
,4.999834493999887e-06,,,4649
0,,4.999834345653653e-06,3.832233517186978e-07,4649
,4.9998209001669536e-06,,,4699
0,,4.9998207032331266e-06,3.1503486752626486e-07,4699
,4.999806769902906e-06,,,4749
0,,4.999806606065249e-06,3.2732299359850003e-07,4749
,4.999792103210808e-06,,,4799
0,,4.999792054150021e-06,2.6738513270174735e-07,4799
,4.9997769000938365e-06,,,4849
0,,4.9997770474874415e-06,3.3520686315569037e-07,4849
,4.999761160555289e-06,,,4899
0,,4.9997611313301604e-06,3.149243070765806e-07,4899
,4.9997448845985765e-06,,,4949
0,,4.9997447604255285e-06,3.000845083533932e-07,4949
,4.999728072227226e-06,,,4999
0,,4.999727934773546e-06,2.742751235018659e-07,4999
,4.9997107234448835e-06,,,5049
0,,4.999710654374212e-06,3.455622277215298e-07,5049
,4.999692838255307e-06,,,5099
0,,4.9996929192275275e-06,3.21019228977093e-07,5099
,4.999674416662375e-06,,,5149
0,,4.999674274586141e-06,3.086157391862798e-07,5149
,4.999655458670081e-06,,,5199
0,,4.999655629944755e-06,2.871620949917997e-07,5199
,4.999635964282532e-06,,,5249
0,,4.999636075808667e-06,3.001941024649568e-07,5249
,4.9996159335039554e-06,,,5299
0,,4.999616066925228e-06,3.07234103047449e-07,5299
,4.999595366338692e-06,,,5349
0,,4.999595148547087e-06,2.8985860467400926e-07,5349
,4.9995742627912e-06,,,5399
0,,4.999574230168946e-06,3.4195014109172917e-07,5399
,4.999552622866055e-06,,,5449
0,,4.9995524022961035e-06,3.3464391435700236e-07,5449
,4.999530446567946e-06,,,5499
0,,4.999530574423261e-06,3.340064154144784e-07,5499
,4.99950773390168e-06,,,5549
0,,4.999507837055717e-06,2.422881095753837e-07,5549
,4.999484484872181e-06,,,5599
0,,4.9994846449408215e-06,2.8901928317282e-07,5599
,4.999460699484488e-06,,,5649
0,,4.9994605433312245e-06,2.8248626904314733e-07,5649
,4.999436377743754e-06,,,5699
0,,4.9994364417216275e-06,2.926334161656996e-07,5699
,4.999411519655256e-06,,,5749
0,,4.999411430617329e-06,3.126191927549371e-07,5749
,4.9993861252243785e-06,,,5799
0,,4.999385964765679e-06,3.2271105965264724e-07,5799
,4.999360194456626e-06,,,5849
0,,4.9993600441666786e-06,2.716942617553286e-07,5849
,4.999333727357621e-06,,,5899
0,,4.999333668820327e-06,2.7743863029172644e-07,5899
,4.9993067239331e-06,,,5949
