epoch,learning_rate_epoch,learning_rate_step,loss_epoch,loss_step,lr-SGD,step,val_loss
,,,,,5e-06,2849,
0,,4.999999873689376e-06,,0.005784406792372465,,2849,
,,,,,5e-06,2899,
0,,4.999999873689376e-06,,0.005120716989040375,,2899,
,,,,,5e-06,2949,
0,,4.999999873689376e-06,,0.005807844456285238,,2949,
,,,,,5e-06,2999,
0,,4.999999873689376e-06,,0.005757371429353952,,2999,
,,,,,5e-06,3049,
0,,4.999999873689376e-06,,0.005729432683438063,,3049,
,,,,,5e-06,3099,
0,,4.999999873689376e-06,,0.005344744771718979,,3099,
,,,,,5e-06,3149,
0,,4.999999873689376e-06,,0.005487397778779268,,3149,
,,,,,5e-06,3199,
0,,4.999999873689376e-06,,0.005659796763211489,,3199,
,,,,,5e-06,3249,
0,,4.999999873689376e-06,,0.005568779539316893,,3249,
,,,,,5e-06,3299,
0,,4.999999873689376e-06,,0.0051541863940656185,,3299,
,,,,,5e-06,3349,
0,,4.999999873689376e-06,,0.006144964601844549,,3349,
,,,,,5e-06,3399,
0,,4.999999873689376e-06,,0.005249802954494953,,3399,
,,,,,5e-06,3449,
0,,4.999999873689376e-06,,0.00641141552478075,,3449,
,,,,,5e-06,3499,
0,,4.999999873689376e-06,,0.0058663818053901196,,3499,
,,,,,5e-06,3549,
0,,4.999999873689376e-06,,0.005447509232908487,,3549,
,,,,,5e-06,3599,
0,,4.999999873689376e-06,,0.005174051038920879,,3599,
,,,,,5e-06,3649,
0,,4.999999873689376e-06,,0.006300066597759724,,3649,
,,,,,5e-06,3699,
0,,4.999999873689376e-06,,0.005318874027580023,,3699,
